#Area	Non-overlapping_group
ampl516_KMT2A_CDS_32_+_KMT2A_CDS_33_UserDefined_(53190447)_UserDefined_(53391494)	grp0
ampl518_KMT2A_CDS_34_Cds_16743176_UserDefined_(53190448)_UserDefined_(53391495)	grp0
ampl520_KMT2A_CDS_35_Cds_16740925_UserDefined_(53190449)_UserDefined_(53391496)	grp0
ampl522_KMT2A_CDS_36_Cds_16742097_UserDefined_(53190450)_UserDefined_(47591216)	grp0
ampl524_KMT2A_CDS_36_Cds_16742097_UserDefined_(53190450)_UserDefined_(47591216)	grp0
ampl651_KMT2D_CDS_54_+_KMT2D_CDS_53_+_KMT2D_CDS_52_UserDefined_(52760330)_UserDefined_(46402173)	grp0
ampl653_KMT2D_CDS_54_+_KMT2D_CDS_53_+_KMT2D_CDS_52_UserDefined_(52760330)_UserDefined_(46402173)	grp0
ampl655_KMT2D_CDS_54_+_KMT2D_CDS_53_+_KMT2D_CDS_52_UserDefined_(52760330)_UserDefined_(46402173)	grp0
ampl657_KMT2D_CDS_54_+_KMT2D_CDS_53_+_KMT2D_CDS_52_UserDefined_(52760330)_UserDefined_(46402173)	grp0
ampl648_KMT2D_CDS_51_Cds_16756116_UserDefined_(52636399)_UserDefined_(46402174)	grp0
ampl650_KMT2D_CDS_51_Cds_16756116_UserDefined_(52636399)_UserDefined_(46402174)	grp0
ampl644_KMT2D_CDS_50_+_KMT2D_CDS_49_UserDefined_(53190472)_UserDefined_(46402175)	grp0
ampl646_KMT2D_CDS_50_+_KMT2D_CDS_49_UserDefined_(53190472)_UserDefined_(46402175)	grp0
ampl619_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl621_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl623_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl625_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl627_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl629_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl631_KMT2D_CDS_48_Cds_16755188_UserDefined_(51788537)_UserDefined_(46402176)	grp0
ampl616_KMT2D_CDS_47_+_KMT2D_CDS_46_UserDefined_(53190470)_UserDefined_(46402177)	grp0
ampl618_KMT2D_CDS_47_+_KMT2D_CDS_46_UserDefined_(53190470)_UserDefined_(46402177)	grp0
